json_parsed.adnumber,name,category,description
38755366,MacBook Pro 15 inch Rechargeable Battery New, Laptop Hardware and Accessories ,Brand new apple battery for 15 inch MacBook Pro. Comes in original box with receipt. It has been opened but never used (my MacBook Pro video disk went out before I could use the new battery). Original price was $130.
39113277,Computer Monitor, Monitors,"Fully working AOC LM960 Black, LCD computer monitor. 15x17. Call/Text 801-907-5442"
38310900,Brand New Brother Printer, Printers,Brand New.  New Ink Jet Cartridges
39113096,Intel 530 480gb SSD - Perfect Health, Desktop Hardware and Accessories,"I have a spare Intel SSD I""m not going to be using anymore, I originally had it in a laptop but switched to a different type of ssd so I will not longer be using it. It is in perfect health with no bad sectors at all. This will speed up any old or new computer ALOT and can be used in either a desktop or a laptop. Text or call for more info or to make an offer."
39113088,**NEW** GREAT VALUE Gaming PC, Desktops,"Check out this BRAND NEW custom built gaming PC! For only $650, it includes:- Intel Dual-Core i3 with Hyperthreading - GeForce GTX 960 Graphics Card - 8 GB RAM - 1 TB Hard Drive - Windows 10 pre-installed - FREE copy of Ashes of the Singularity - FREE MSI Interceptor DS B1 Gaming Mouse This PC is ideal for 1080p gaming on high settings at high framerates. It's ready for any modern game you can throw at it. Its performance blows new-gen consoles out of the water! You won't find better value gaming PCs from other KSL sellers.As with all my PCs, I will guarantee this computer for 2 years. If you have any issues, I will take care of it at no cost.As always, this machine can be customized however you wish. If this isn't quite what you're looking for, ask about a completely customized build designed specifically for you. Check out my facebook page for more information: http://www.facebook.com/oremcustomgaming"
39113123,Samsung Galaxy Tab 3 Lite , Palm,"7 inch, 1024 x 600, Android and 8 GB with expandable memory. Barely used. Flawless condition. $85 OBO Text only please. "
39113090,HP LAPTOP, Laptops,"I\\\\\\\'m selling my laptop for $200. I bought it about 6-7 months ago so it\\\\\\\'s still in like new condition. I bought it for school but I\\\\\\\'m no longer in school and I just use it for Netflix. Text me if you\\\\\\\'re interested, 8012440793 I\\\'m willing to negotiate as well."
39113048,New Surface Pro 3 Keyboard, Laptop Hardware and Accessories ,"Brand new Surface Pro 3 Keyboard never been opened still in packaging. I originally sent in a broken keyboard and Microsoft sent me this new one, that I now don't need. ..asking 100. Best way to contact me is via text."
39112795,"MacBook Air 13""", Apple Laptops,"New with box 13"" MacBook Air 128 GB software"
39112775,HP Pavilion 15-n200 TouchSmart Notbeook PC, Laptops,"Works perfectly! Just was given a laptop for work so I don't need this one now. Has a terabyte hard drive and is updated to Windows 10. It is a touchscreen laptop and has Norton Security installed on it which I can keep on there for you if you'd like. Also, I have LOTS of movies on it as well and if you'd like me to keep them on there for you, I'd be happy to. 8 Gigs of RAM and runs on and AMD A10 processor. The HP tablet is just something I am throwing in with it. About a 50 dollar value but I never use it. Great for traveling and whatever other purposes you might have. Text me at 806-367-2542 if you have questions."
38639200,Printer and Scanner, Printers,"Lexmark Scanner/printer for sale. I have Lexmark Scanner/printer it comes with user guide and cd .It�s is working condition I barley used it and I'm wanting to make some money out of it I'm asking $15 OBO. you'll probably need more ink, $10 at cartridge world for more information please text Prasadd @ 801-696-9698 I barley answer my phone calls so text is best way to reach me."
38532044,iPad case, Apple iPads and Accessories,I sold my iPad and no longer need this case. Its practically brand new. Call or text if interested.
39112257,Two Keybards, Desktop Hardware and Accessories,There is two keybards there are good keybards and if you want see them text me at 801-600-5709 ok 15.00 is for both
39112330,3 tablets For $65 Please Read , Android Tablets and Accessories,"I have a amazon Kindle it will need a new battery but the currant one will work as long as it's plugged in. The second is a 7 in icraig. It need the operating system loaded back onto it but turns on with no issues the third is an rca with cracked screen. It is not getting power but no time have to troubleshoot it. 
Call or text anytime for more info am flexible on price "
39112096,one monitors, Monitors,Is a good monitors if you want to see it text me at 801-600-5709 ok
38744230,CenturyLink Modem/Router, Desktop Hardware and Accessories,I have this modem/router required for centurylink. This is two years old. It won't work for fiber optic. Text if interested at 8014502182
39112026,Elgato HD60 Pro Capture Card, Desktop Hardware and Accessories,Great card. Mint condition. Only used a handful of times. Text only please.
38755834,"Dell 24"" Widescreen Monitor", Desktops,"This works great. We get rid of our electronics every couple of years as we buy new. We're a software shop.This is a great monitor with plenty of inputs.It can be flipped horizontal or vertical. Will take best offer.With Dell TrueColor Technology and full HD, this monitor is perfect for business, gaming, or surfing the internet! Excellent condition, with minimal marks on back. This monitor works great, and the screen looks new. Comes with all necessary plugs. We update our office equipment regularly, and this gently used monitor just needs a new home! 2 Available.Pick up in downtown Salt Lake or Highland."
38722217,Epson Stylus nx230 All-in-One WiFi Printer/Scanner, Printers,"My wife and I don't use this any more and want to get rid of it. Scanning and printing is easy to use. I can also include a USB cable.Asking $45.00 or best offer.Call, text, or email me. Thanks for looking!"
39111677,iPad 1st Generation 64gb, Apple iPads and Accessories,iPad first generation 64gb wifi only in great shape screen has no scratches or cracks back is in great shape as well. Minor sing on the bottom but does not effect use ability or sound from speaker.  Have charger if needed  text preferred 
39111446,Crucial Ballistix Sport 8GB Single DDR3 1600 MT/s PC3-12800 CL9 1.5V UDIMM 240-Pin Memory, Desktop Hardware and Accessories,8GB Single ram stick brand new never opened ordered 2 on accident
38369196,Logitech Extreme 3D Pro Joystick, Desktop Hardware and Accessories,"Logitech Extreme 3D Pro USB joystick for flight simulators, computer games, or misc. controller.Good condition, only one scratch, gently used, no install disc needed, just plug and play.text for more info @ (435)753-7907                 or: (435)890-0518"
38905075,"ViewSonic LED 19"" Computer Screen - Like New", Monitors,"Hardly ever used, been sitting in a third bedroom for a long time for looks, it is in Excellent/Like New Condition. Works great! Power cord included. Viewsonic's VA1931wa-LED is an energy star 5.0 certified, environment friendly 19"" widescreen monitor that features LED backlight providing energy savings up to 40%. With 1366x768 resolution, 10,000,000:1 MEGA dynamic contrast ratio and VESA mountable glossy finish design, VA1931wa-LED is ideal for both homes and offices.Asking $30 OBOYou can email me or text me at 435-572-0250."
39111392,Samsung 850 EVO 250 GB M.2 SSD, Laptop Hardware and Accessories ,Brand new never opened Samsung SSD ordered 2 by accident
39111419,Lenovo Y50-70 Gaming Laptop, Laptops,"Price lowered from $800 to $700 sell fast will trade for ps4/small tv and cash
I7
Gtx 960m 4gb vgraphics card
8gb ram
1tb hybrid SSD/HHD�
Xbox One controller(to play games)
Can play most games on Ultra settings to High. Perfect condition(not even finger smudges) w/original box"
39111346,Large Nice Acer, Monitors,For repair.  I was told one of the lights is out inside.  
39110921,GTX 780 TI, Desktop Hardware and Accessories,"GTX 780 TI, works great. Selling because I no longer game enough to justify having it.Also have a Thermaltake Smart M Series 850w I will be letting go for cheap if you need a power supply.Please text if interested."
39110266,Data Recovery, Desktop Hardware and Accessories,"Best data recovery service on KSL!  I've recovered terabytes of data for people just like you.I know the feeling of losing all your family pictures or music and I want to help you recover that data if possible.  I've been working in IT and specializing in data recovery for over 5 years and I figured I should post this as a service on KSL.I can do data recovery on any hard drive (internal computer drive, external hard drive, etc).  Most of the time that data is recoverable.  If I can't recover the data I guarantee your money back.Places online will charge over $1000 for data recovery.  I'm local and charge a fraction of that.  Please call or text with any questions.  I also commute from Sandy to Kaysville several times a week and can arrange to meet you anywhere in between."
38833138,Hewlett Packard Notebook PC, Laptops,"Hp Factory Recertified 15-series 15-r033ca Laptop Intel:i3-4030u/ci3-1.90glv 6gb.15.6-inch (1366 x 768) LED Display1"" x 14.88"" x 10.20"" (HxWxD); 4.9lbs1 x USB 3.0, 2 x USB 2.0, 1 x HDMIIntel Core i3-4030U Processor (Dual-Core, 1.9GHz, 3MB Cache)Microsoft Windows 8.1 Home Premium Operating SystemCall or text."
38843927,Cannon Pixma All-in-One Wireless Inkjet Printer, Printers,"Like new.  I have 2 available at $60 each. CANON PIXMA MG6620 WIRELESS ALL-IN-ONE COLOR CLOUD Printer, Mobile Smart Phone, Tablet Printing, and AirPrint(TM) Compatible, BlackAirPrint: Print wirelessly and effortlessly from your compatible iPhone, iPad, or iPod touch- no drivers needed!PIXMA Touch and Print: Print your photos by touching a compatible NFC Android phone to your printer! | Easily print wirelessly from your compatible smartphone or tablet via Canon PRINT app and Google Cloud Print.OS Compatibility: Windows:22, Windows� 8, Windows 8.1 Windows 7, Windows 7 SP1 Windows Vista SP1, Vista SP2 Windows XP SP3 32-bitCompatible with Individual/Combo CLI-251 XL Ink Tanks (Cyan, Magenta, Yellow, Black) & PGI-250 XL Pigment Black Ink Tanks. Only replace the inks that run out!Thanks to the Canon PRINT app, it's easier than ever to share and print information directly from your tablet or smartphone from popular Cloud services like Flickr, Facebook, Twitter, Google, Dropbox and more.Call or text."
38844751,"Asus Transformer 10.1"" Tablet 16GB Android - Black", Android Tablets and Accessories,"Like New, Factory Refushed.  ASUS Transformer MG103C-A1-GR 16GB 10.1"" Tablet and Keyboard (Certified RefurbishedAndroid 4.4 Kit KatIntel Atom Z3745 1.33Ghz10.1"" WXGA (1280 X 800) LED Backlight IPS panel, 10 finger multi-touch16GB EMMCCall or Text."
39109876,Western Digital My Net N600 300 Mbps 4-Port 10/100 Wireless N Router, Laptop Hardware and Accessories ,"Brand New, unopened, in original packaging.$25.00.Text 801-866-9602."
39109805,Samsung Galaxy Tab 3, Android Tablets and Accessories,Brand new tablet comes with box and original everything! 
39109623,Asus R510C, Laptops,"ASUS R510CA-RB51 15.6 Inch Laptop (1.8GHz Intel Core i5-3337U processor, 6GB RAM, 750GB Hard Drive, Windows 8)Like new, used for a few online college classes. Asking 400. Same computer in like new condition sells for $575 on amazon. Call or text Tim @ 801-717-0365 asking $250 Firm. Cash only"
38781224,Microsoft Office Home & Student 2013, Software,"Microsoft Office Home & Student 2013Brand new in box. Never opened, never used.Microsoft Word 2013Microsoft Excel 2013Microsoft PowerPoint 2013Microsoft OneNote 2013Thanks and please see my other ads! For example, I have lots of Antivirus software I'm liquidating at $10 each."
39109577,Surface Pro 3 256 Gb With 8 gb Ram I5, Android Tablets and Accessories,I have a surface pro 3 that comes with original box and receipt. 256 Gb Hardrive 8 gb ram with the I 5 processor. This has windows 10 on it and will run anything you want. I had star craft 2 on it. It also comes with a 100 dollars ueg case and screen protector. It has had a case and screen protector since day 1. Call or text anytime.
38751218,Turbofrog Universal Tablet Stand, Android Tablets and Accessories,Tablet stand that fits all tablets. Allows for hand held usage and desktop or table placement in different orientations. I haven't even opened it! Brand new in box.Thanks and please see my other ads!
38751149,DVD Drive, Desktop Hardware and Accessories,"Need another DVD drive for you desktop computer?This IDE DVD Drive is for you! It's likely you'll only get this as a replacement, but remember the good ol' days when desktops were awesome when they came with two drives so you could rip and burn at the same time?!?!Thanks and please see my other ads!"
38751137,Wireless DSL Router Westell VersaLink 327, Laptop Hardware and Accessories ,Another one of my old DSL routers! Except this one had the nice feature of also being a wireless router. It was nice not to have to have both a DSL modem and a separate router. This Westell VersaLink 327 is a combination of them both. Thanks and please see my other ads!
38751117,Venetica - Female Heroine RPG, Software,"Stunning RPG with a female lead character. That alone sets this game apart. Brand new game, never been played, in original packaging. Thanks and please see my other ads!"
38751058,DSL Modem Westell 6100G, Desktop Hardware and Accessories,It's my old DSL Modem from Verizon. It's a Westell 6100G. If it will work for you - great!Thanks and please see my other ads!
38751103,The Witcher Enhanced Edition, Software,"This isn't the latest and greatest Witcher 3, but if you've ever wanted to start the story and play from the beginning, this is your chance.Brand new game, never been played, in original packaging. Thanks and please see my other ads!"
38751176,PDF Create and Convert, Software,Ever needed to create a PDF or convert one? Get the professional tools from Nuance PDF Create and PDF Convert.$5 each or $8 if you want both. Thanks and please see my other ads!
38750962,Nero Burn Express 3, Software,"Rip, Copy, Burn, and protect.Nero Burn Express 3Thanks and please see my other ads!"
38750856,McAfee Antivirus, Software,Brand new in box. McAfee Antivirus - keep your computer safe from viruses!I have several other anti-virus titles available as I'm liquidating my stock. Thanks and please see my other ads!
39109373,Vizio Thin Light CT115 Laptop, Laptops,"Vizio Thin+Light CT115 Laptop- 128 GB SSD- Intel Core i5 3rd Gen. 1.7 GHz- 4 GB RamThis laptop is VERY FAST! Just replaced the SSD in it and fresh copy of Windows 10!Come down and check out what we have on sale! Layaway available on all items. New items out for sale everyday.http://zzzpawnshop.comZZZ PAWN SHOP189 N Main StSpanish Fork, UT. 84660801-798-7444Monday - Saturday10am - 6pmClosed SundayText us @ 801-810-9269email us @ zzzpawnshop@gmail.com"
39109213,Apple iPad Mini 3 16GB MH3E2LL/A *BLACKLISTED!*, Apple iPads and Accessories,"Apple iPad Mini 3 16GB MH3E2LL/A- 16GB Memory- Charger included!- This item has been marked blacklisted. Still wifi compatible.- Memory has been wiped and factory reset.- Item is in decent condition. Has some scratches on the screen, and a few minor scuffs and dents on the back. Cosmetic wear has no effect on the ipad's functionality.Come down and check out what we have on sale! Layaway available on all items. New items out for sale everyday.http://zzzpawnshop.comZZZ PAWN SHOP189 N Main StSpanish Fork, UT. 84660801-798-7444Monday - Saturday10am - 6pmClosed SundayText us @ 801-810-9269email us @ zzzpawnshop@gmail.com"
38321659,"32\"" for Work, Play, and More...", Monitors,"This 32\"" monitor takes your performance to the next level. LG M3204CCBA, this is a commercial grade monitor built for visual displays. Monitor does not come with speakers or a tuner, yet it can be used for entertainment with a sound system. HDMI and USB ports allow for streaming and gaming! Wall mount available for $15. Located in Sandy and Orem.If you have a large project or need many monitors let\'s make a deal. I have a lot.If 32\"" is not big enough. I also have some 42\"" as well."
39249153,Optiplex 990 Small Factor, Desktops,This computer is in excellent condition.There are no issues with it.It comes with a clean install of Windows 10 Professional.Specs:Processor: Intel Core i3 @ 3.30GhzMemory: 4 GbHard Drive: 500 GbDVD DriveIntegrated Intel VideoAny questions text me or email me
39249149,HP G42!!!!!!!!!!, Laptops,i have a like new hp g42 no scratches scrapes problems isssues or any passwords and accounts has been well taking care of would make a great buisness labtop if you have any questions feel free to call or text cwno anytime 8016083818
39249141,Dell Latitude D630, Laptops,This laptop is in great condition. No cracks or dents. It's been well taken care of. It does need a new battery (About $20 on Amazon) It includes a docking station.Specs:Processor: Intel Core2 Due 2.50 GhzMemory: 2 GbHard Drive: 250 GbVideo Memory: 128 MbCD-RW/DVD ComboQuestions text me or email me.
39249126,OptiPlex 160 Tiny Desktop (Two), Desktops,I have two of these Optiplex 160 Desktops.They are both in excellent condition.There are no issues with them.They have a clean install of Windows 7 ProfessionalSpecs:Processor: Intel Atom @ 1.60GhzMemory: 4 GbHard Drive: 160 GbAny questions text me or email me.
39249122,Brand New iPad Air 16gb Wifi (unopened), Apple iPads and Accessories,Brand new iPad Air 1st GenerationBox is unopened and still has shrink-wrap. 16gb of MemoryWifi Only Lightning to USB Cable ($20 Value)USB Power Adapter ($20 Value)Save on Shipping and/or Sales tax. This same purchase would cost around $400 after tax! Email me at truemanbryce@gmail.comText me at 530-570-7971 (preferred)
36181994,Logitech MOMO steering wheel, Desktop Hardware and Accessories,Up for sale is the following: - Logitech MOMO Steering wheel - Logitech MOMO Pedals - Power Cable - Original BoxHaven't used this in a while so I'm gonna sell it. It's dusty but works great.If you have any questions please text me.
36178783,Linksys N300 Wireless N Router, Desktop Hardware and Accessories,Up for sale is the following: - Linksys N300 Wireless N Router - Power Cable - Original BoxThis is a great beginner router that offers good range for a small home or apartment.Please feel free to text me with any questions.
36178670,Linksys WRT150N Gigabit Wireless N Router, Desktop Hardware and Accessories,Up for sale is the following: - Linksys WRT150N Router - Power Cable - Original BoxI have installed DD-WRT on this router which gives you more functionality and control over your own home network.Please feel free to text me with any questions.
36178570,Cisco Valet M10 Wireless Router, Desktop Hardware and Accessories,Up for sale is the following: - Cisco Valet Wireless N Router - Setup USB dongle - Power Cable - Original BoxThis is a good router for a family that isn't tech savvy. Using the USB dongle included you can easily set up each laptop in the home to connect to the network.Please feel free to text me with any questions.
36177743,Cisco rvs4000 v2 Gigabit Security Router, Desktop Hardware and Accessories,Up for sale is the following: - Cisco rvs4000 v2 Gigabit Security Router - Power cableThis isn't your typical router. It doesn't have wireless capabilities but it is a secure gigabit switch with VPN and an intrusion-detection system built in.This is mostly used by small businesses but can easily be used in a home if the owner is looking for added security.Please feel free to text me any questions.
36177519,Cisco-Linksys e2000 router, Desktop Hardware and Accessories,Up for sale is the following: - Cisco e2000 Advanced Wireless N Router (v1) - Power cableI have also installed DD-WRT on this router giving you more functionality and control over your own network.Please feel free to text me with any questions.
39249083,Gaming Computer at bargain price!, Desktops,"I reduced the price to $649! Needs to go.

The computer is amazing and I have played modern Unity games such as Unity just fine on it. It has many an upgraded CPU fan, a super efficient-yet-quiet fans on one side. Follows is an overview:

Intel core i5 3.4Ghz
EVGA nVidia GeForce GTS 250
16gb of Crucial Ballistix RAM (low profile versions!)
250gb SSD
2 TB, 7200 RPM 64MB Cache Ultrastar Hard Drive (Yes, the kind servers use--fast, reliable, durable)
Cooler Master CM Storm QuickFire TK Wired Mini Keyboard
430W power supply
UPS with 4+ outlets
24"" monitor
6 USB 3.0 ports
CD DVD Reader
Windows 10 Home (for additional $70)

According to PC Part Picker, the total build consumes just 191W. The power supply can push out more than that, so there is room for swapping out for a a higher-powered graphics card!

For specifics of the build, you can visit https://pcpartpicker.com/user/bean5/saved/#view=m68V3C. 

If you don't want the graphics card, I can drop the price. Same goes for the monitor. Also, since I want to keep my data, I'll probably just buy you a new hard drive rather than wiping my data off this one. Yes, I will buy a new 2TB drive for this--or drop the price for you accordingly.

Text for more information. Questions are welcome. Asking $649 negotiable."
38324098,"42"" LG for Work, Play, and More...", Monitors,"These monitors work great in many applications.  These are 1080p monitors. Here's what LG has to say about them.Designed for Digital Signage Applications, the M4214CCBA large screen LCD Monitor displays advertisements, information and broadcast video with Full HD brilliance. The M4214CCBA is manufactured at the highest quality level and is designed for 24/7 continuous operation. As a part of the SuperSign Solution, the M4214CCBA is built-in ready for the NC2000 media player. Its integrated LAN control enables individual management for multiple displays and eliminates the need for an IP card and an IP Interface box. With landscape, portrait and 5x5 tile mode capabilities, the M4214CCBA adapts to your signage needs.Wall mount $15.  Ceiling mount sold separately but is available.  We also have a large number of HDMI splitters so multiple screens can be used at once.  Call me today.  Have a large project or need let's talk."
37072018,Dell Laptops, Laptops,"I have several Dell laptops running various versions of Windows (mostly 7). Good condition. Asking $50 and up. I have 14"" and 15"" models, as well as other brands."
38839552,Hp Probook Laptop -excellent condition, Laptops,"Hp silver Probook 16-inch Laptop -excellent condition.Core i5 processor, 596gb hard sata,intel hd graphics,  4gb ram, webcam, speaker and microphone built in, running windows 10 pro 64-bit -fully licensed. few scratches and dings on outer casing, lightly used.includes charger. no problems with it, just got another one. 380.00 or best offer.Contact Adam @ 801.597.1157 Text is best.Thanks for looking."
38839663,Netgear Wireless Router, Desktop Hardware and Accessories,Netgear N600 Wireless Router. 25.00 or best offer. works includes charger.no ethernet cable.contact adam @ 801.597.1157text is best. thanks
38839592,Netgear N600 Wireless Router, Laptop Hardware and Accessories ,"Netgear N600 Wireless Router, excellent condition.original charger and ethernet cord intluded. Just don't need it anymore. They cost about 70.00 dollars new.35.00 or best offer. Contact Adam at 801.597.1157 Text is best. Thanks for looking-"
39108802,3 Monitor Set Up For Trade Or sale!, Monitors,"I have 3 \""24 monitors. One Dell, one acer, and one Vizio! 85 for one, 150 for 2, 210 for 3.I got them all calibrated exactly the same, both the colors, saturation, and white balance are basically identical. I can\'t tell the difference when I\'m sitting right in the middle. All are 1920x1080, or 1080p. Dvi and dp and hdmi on 2, Vizio only has hdmi. I\'m wanting to trade for a 21:9 monitor. This setup is insane for multitasking and gaming, but with gaming my rig isn\'t quite powerful enough, so I\'m looking for a ultra wide monitor to replace it with. Must be at LEAST 29 inches. I\'ll add money for almost whatever it is. How much depends on the monitor. If you\'re looking to buy, it's just the 85 for one, 150 for 2, or 210 for all!Price is firm, cash only, text only!"
NULL,NULL,NULL,NULL
39108497,*Brand New* iPad Air 2, Apple iPads and Accessories,Won this 16gb silver iPad in a contest and I don't want it. Still sealed in original packaging never opened. $375 OBO
38758734,Refurbished HP with 500 GB hard drive, Desktops,"HP Compaq 8200 Elite Core i5 Windows 7 Desktop, 2.5 GHz - 3.1 GHz with a 500 GB hard drive. Includes HP 19-Inch Flat-Panel LCD Monitor."
25123905,Swiss Gear Laptop Cooling Mat Fan (no cord), Laptop Hardware and Accessories ,Sorry no cord with it.
38541052,Western Digital 250GB External Hard Drive with USB Cable, Desktop Hardware and Accessories,"$47 or best offer...this will go quick!Handy and portable, this drive has worked super well for our office. We upgrade regularly, so it needs a new home. The drive is gently used, works smoothly and has no dents. It's light and easily fits in a pocket or bag. Connecting it to a computer is super simple, just plug it in and you're good to go! With full access to 250GB of space, it's an easy way to transfer and store your most important files.Model Number for easy lookup: WDXMS2500BNPickup available in downtown SLC or Highland."
38755074,Professional All-Terrain 500GB Storage, Desktop Hardware and Accessories,"This LaCie 9000491 Rugged Thunderbolt Professional All-Terrain Storage 500GB SSD is called rugged for a reason! Built to keep your data safe from the bumpiness of life, this storage drive will last. Sturdy and strong, this device will take the beating so that your data won't. With an amazing capacity of 500GB of storage, this drive is well worth the price. Thought heavy duty, it is certainly not heavy, or large, but instead a great size for on the go. Take all the data you need with you! In like new condition, you can trust this storage device to do the job, and keep your information safe and sound.Available for pick up in downtown Salt Lake or Highland."
35861097,Epson Stylus Pro 7900 (updated) price reduced!, Printers,"1. Epson Stylus Pro 7900 24"" printerHardly got used in home office of artist.  Has been flushed of ink and is covered and stored until sold."
39107596,"27"" iMac with 24GB of RAM!", Apple Hardware and Accessories ,"Thin profile iMac 27-inch, Late 2012 for sale. Check out the specs!3.4 GHz Intel Core i724 GB 1600 MHz DDR3 <---- Yup! 24MB!!!Fusion HDD 1TBGraphics: NVIDIA GeForce GTX 680MX 2048 MBHas a crack in the top left but otherwise in great condition. I've included pictures showing the crack. It doesn't effect the display at all and it's not super noticeable when working on it. But you can replace it or whatever. Just saying that it works just fine the way it is..no missing pixels or anything.Comes with computer and apple mouse. No keyboard.I'm simply upgrading to a new iMac and never replaced the screen on this one. Cash only."
39107554,"Apple iPad (First Generation) 64GB, Wifi (AT&T Network)", Apple iPads and Accessories,"Used. But internally in really good shape. The screen is cracked but still works perfectly.A4 APPLE Processor and iPad OS processing systemCapacity of 64GB and TFT Display,No cameraIncludes Wifi and Multi-touch TouchscreenClean IMEIComes with a black leather Hammerhead case."
39107315,Acer Laptop , Laptops,It in good working conditions I just have no more use for it. Comes with charger cord. 
39107224,Fujitsu Scan Snap S500, Desktop Hardware and Accessories,Brand new in the box. Color image scanner.
38619295,Hp Computer Monitor and speakers, Monitors,$10
39106787,Logitech Speaker System, Desktop Hardware and Accessories,Logitech X-530 70 Watt RMS 5.1 Speaker System for computer. Look them up on line and you will see that a new system costs $250. Good condition. Just downsizing home and getting rid of a few things. $50.00 OBO.
38105642,Wireless Mouse USB Bluetooth w/ Dongle Adapter, Desktop Hardware and Accessories,"This is a new high-tech, unopened iKross wireless mouse with built-in bluetooth speaker & mike (can be used as cell-phone handset extension). Comes with USB dongle adapter and USB power-charging cable. Internal Lithium Ion batteries, rechargeable after 100 hours of use. Still in the box (list-price is $33)--received as a gift but I already have a similar wireless mouse. This one has all the creative high-tech possibilities--check out this link:https://jet.com/product/detail/3018fcd9b42848d3b3c2d84804440a8f?jcmp=pla:ggl:cwin_electronics_a3:electronics_accessories_computer_components_input_devices_a3_other:na:na:na:na:na:2&code=PLA15&k_clickid=b5eede85-97b8-46bb-82f9-bd952baa973b&gclid=CNqE_oXnpMoCFQesaQodkd0ApQ"
37968290,"Samsung Q430-JS03 14"" Laptop - Core i5 - 8 GB RAM - 500GB Hard Drive", Laptops,"I have for sale a lightly used Samsung Q430-JS03 14"" Laptop.  This was my wife's laptop and is lightly used.  There are a couple of small scuff marks on the top deck just from moving the laptop out of a case, but are hard to pick up with photographs.  There are also a couple of small buff marks on the screen from the screen resting against the keyboard - these are hard to pick up in a photograph and the ones on the screen can't be seen when the display is on (see pics).Keep in mind this is a core i5 with DEDICATED graphics rather than using integrated graphics.  My wife is a graphics designer and this can do Adobe Photoshop, Illustrator, etc.  It is a bit older at this point but the Core i5 will still outperform most current processors at this pricepoint.  Would be great for a college student as it will easily power through Excel, Word, email, and web surfing.I just put on a fresh copy of Windows 7 Pro and did all of the installs/patch/security updates, etc.  It's clean and ready to go.Battery was replaced about a year ago.  It still hold 97% of the original charge.  You can easily get 2 hours out of it.Comes with the laptop, AC adapter, and the original box with recovery discs/manuals, etc.  I'm pretty meticulous with my electronics and save all of the boxes, etc.Specs:Intel Core i5 480M (2.66 GHz)8 GB Memory (upgraded from original 4GB)500 GB HDD (new hard drive put in last year)NVIDIA GeForce 310M 512MB DDR3 (dedicated graphics card)14"" LCD 1366 x 768Windows 7 Home Pro - 64 bitDVD�R/RWAsking: $225 OBO cash price - I can take credit cards via Square for an additional 3%.Located in Sandy by the mouth of Little Cottonwood Canyon.Prefer texts at the number given. If calling please leave a Voicemail as I'm often not able to answer immediately."
39106436,Boxed Apple iPad Air Wi-Fi + Cellular 128GB - Space Gray w/Case, Apple iPads and Accessories,"I'm selling my boxed, perfect working condition Apple iPad Air top of the line cellular model w 128GB storage because I'm upgrading to a newer iPad. Apple doesn't even sell an air w/ 128GB anymore and this is less than you can buy direct from Apple refurbished, so please, no low-ball offers.NO scratches on the screen--this is an excellent iPad!Comes with Apple Smart Cover Case (Black), Power Cord & Power AdapterHolds a charge like the day it was purchased.In Original box!Tech Specs:Model: A1475 MF558LL/AOriginally released October 2013Wi-Fi (802.11a/b/g/n)Bluetooth 4.0 technology9.7-inch Retina display5-megapixel iSight cameraFaceTime HD camera1080p HD video recordingA7 chip with 64-bit architecture10-hour battery lifeSmart covers (sold separately), instant onMulti-Touch screen1.05 pounds and 0.29 inch"
37637841,Logitech keyboard, Desktop Hardware and Accessories,I'm selling a standard Logitech keyboard.  I just don't need it anymore.  please text or call.cash only
37637976,Dell computer monitor, Desktops,selling a Dell computer monitor...see picture.  don't need it anymore.  please text or email.cash only
38770901,Sylvania Compiter monitor, Monitors,If interested contact Tammy. 8015180726. Check out my other ads.
38764138,Microsoft Flight Simulator X Gold Edition for PC w/ Yoke and Pedals, Desktop Hardware and Accessories,"Like-new disc and accessoriesYoke and Pedals can be connected via USBComes with all discs, cords, and instructions"
39106067,Imac, Apple Laptops,Imac 2006 20in.  Works great just need to sell to make space for a new one I'm getting. ..more info on the pictures I posted
39105985,Laptop chargers, Laptop Hardware and Accessories ,I have a lot of laptop charges 15$ each.  Text or call 3855292189
39105983,Slot Load BD Rom / DVD Writer internal drive, Desktop Hardware and Accessories,Selling my slot load Blu Ray drive. I pulled it from an old system intending to get a case that supports it but ended up not doing so. Works great. You will need the converter cable for this to plug in to a standard SATA connection. I have been using this drive externally from time to time so I can include the Slimline SATA to USB cable that I have if you want to use it externally or if you have a USB A to USB Header cable you can still plug it in internally and save a SATA port. Text only please.
38526300,Upgraded Acer Aspire Notebook, Laptops,"Acer Aspire ES1-111M-C7DE

Screen Size: 11.6 inches
Processor: Intel Celeron N2840/2.16GHz
Storage: 250 GB Samsung 850 EVO Solid State Drive ($70 upgrade)
RAM: 8 GB Crucial DDR3-1600 SODIMM (4x original 2 GB RAM, $35 upgrade)
Operating System: Windows 10

It\'s a great little laptop. The only reason why I am getting rid of it is that the work I do requires software that will only work on a Unix/Linux based system. So I just bought a Mac and no longer have a need for this. I bought it last November so it\'s only a year old. I\'ve upgraded the hard drive with a solid state drive and quadrupled the ram (2 GB to 8 GB)."
37988022,PC3-8500 DDR3 204 PIN SODIMM 2GB and 1GB Laptop Memory sticks - CL7, Apple Hardware and Accessories ,"These all came out of apple laptops throughout time as I ahem upgraded them to more memory.  I will not help you determine if these will work in your laptop.  ask and you will get no response. I have 4 2GB sticks and 2 1GB sticks.  All working.  the 2GB are crucial and hynix, the 1GBs are micron. 10 dollars for each 2GB and 5 dollars for each 1GB. I live in riverdale off ritter dr."
